current_epoch	train_loss	train_acc	train_f_score_hateful	train_f_score_abusive	train_f_score_normal	train_f_score_spam	train_acc_class_hateful	train_loss_class_hateful	train_acc_class_abusive	train_loss_class_abusive	train_acc_class_normal	train_loss_class_normal	train_acc_class_spam	train_loss_class_spam
11.0000	0.7631	0.7278	0.0299	0.4518	0.7815	0.0638	0.0000	2.9872	0.3383	1.6905	0.9794	0.3186	0.0394	1.5711
23.0000	0.2520	0.9046	0.6401	0.8427	0.9326	0.8103	0.6214	0.8711	0.8301	0.4290	0.9596	0.1316	0.7888	0.4953
12.0000	0.7597	0.7277	0.0112	0.4418	0.8010	0.0584	0.0000	2.9905	0.3344	1.6794	0.9806	0.3187	0.0345	1.5603
25.0000	0.2456	0.9066	0.6443	0.8516	0.9344	0.8357	0.4063	0.9604	0.1306	0.7968	0.4740	0.8146	0.6270	0.8512
23.0000	0.2495	0.9054	0.6318	0.8456	0.9337	0.8161	0.6150	0.8945	0.8336	0.4138	0.9605	0.1309	0.7916	0.4819
24.0000	0.2478	0.9058	0.6362	0.8461	0.9351	0.8122	0.6262	0.8462	0.8382	0.3981	0.9601	0.1312	0.7901	0.4829
13.0000	0.7616	0.7263	0.0284	0.4364	0.7879	0.0452	0.0000	2.9815	0.3331	1.6876	0.9805	0.3181	0.0269	1.5695
26.0000	0.2417	0.9094	0.6726	0.8491	0.9352	0.8215	0.6479	0.8019	0.8391	0.4075	0.9611	0.1278	0.8028	0.4738
12.0000	0.7623	0.7273	0.0303	0.4400	0.7844	0.0510	0.0000	3.0092	0.3344	1.7062	0.9803	0.3186	0.0303	1.5683
13.0000	0.7591	0.7267	0.0305	0.4418	0.7733	0.0581	0.0000	2.9811	0.3254	1.6963	0.9797	0.3184	0.0340	1.5586
24.0000	0.2436	0.9070	0.6433	0.8496	0.9347	0.8196	0.6149	0.8581	0.8383	0.4008	0.9612	0.1280	0.7995	0.4605
27.0000	0.2368	0.9107	0.6653	0.8495	0.9346	0.8286	0.6489	0.7759	0.8365	0.4013	0.9613	0.1260	0.8099	0.4608
25.0000	0.2440	0.9082	0.6699	0.8579	0.9343	0.8109	0.6527	0.8137	0.8429	0.3974	0.9606	0.1282	0.7911	0.4897
14.0000	0.7611	0.7270	0.0354	0.4462	0.7739	0.0542	0.0000	3.0001	0.3341	1.6962	0.9804	0.3179	0.0312	1.5618
28.0000	0.2294	0.9138	0.6872	0.8564	0.9362	0.8315	0.6649	0.7659	0.8454	0.3777	0.9639	0.1217	0.8112	0.4460
25.0000	0.2434	0.9057	0.6578	0.8463	0.9348	0.8320	0.4079	0.9600	0.1292	0.7927	0.4653	0.8090	0.6374	0.8387
13.0000	0.7616	0.7277	0.0285	0.4400	0.7851	0.0563	0.0000	2.9979	0.3332	1.6947	0.9810	0.3180	0.0326	1.5662
26.0000	0.2434	0.9074	0.6373	0.8491	0.9371	0.8153	0.6248	0.8529	0.8372	0.3984	0.9593	0.1297	0.8009	0.4754
14.0000	0.7585	0.7266	0.0329	0.4582	0.7710	0.0581	0.0000	2.9808	0.3471	1.6618	0.9783	0.3186	0.0334	1.5536
29.0000	0.2308	0.9125	0.6884	0.8535	0.9381	0.8466	0.3905	0.9617	0.1211	0.8152	0.4382	0.8310	0.6785	0.7508
15.0000	0.7608	0.7260	0.0342	0.4402	0.7736	0.0477	0.0000	2.9468	0.3302	1.6967	0.9796	0.3190	0.0285	1.5587
26.0000	0.2404	0.9085	0.6592	0.8480	0.9340	0.8233	0.6349	0.8299	0.8316	0.4165	0.9615	0.1258	0.8017	0.4620
27.0000	0.2302	0.9121	0.6775	0.8606	0.9388	0.8210	0.6590	0.7783	0.8480	0.3707	0.9635	0.1219	0.7978	0.4628
30.0000	0.2265	0.9146	0.6765	0.8605	0.9397	0.8348	0.6728	0.7636	0.8512	0.3863	0.9615	0.1208	0.8232	0.4241
15.0000	0.7556	0.7275	0.0251	0.4298	0.7966	0.3297	1.6827	0.9787	0.3163	0.0432	1.5525	0.0720	0.0000	2.9656
14.0000	0.7591	0.7275	0.0322	0.4528	0.7753	0.0568	0.0000	2.9643	0.3393	1.6907	0.9800	0.3174	0.0338	1.5582
27.0000	0.2356	0.9116	0.6702	0.8544	0.9377	0.8251	0.6557	0.8008	0.8414	0.3851	0.9632	0.1246	0.8060	0.4548
16.0000	0.7605	0.7260	0.0349	0.4427	0.7706	0.0525	0.0000	2.9906	0.3263	1.7124	0.9793	0.3183	0.0316	1.5580
28.0000	0.2359	0.9110	0.6745	0.8558	0.9397	0.8218	0.6775	0.7847	0.8484	0.3837	0.9612	0.1263	0.8052	0.4534
31.0000	0.2180	0.9177	0.7044	0.8629	0.9416	0.8388	0.6980	0.7197	0.8517	0.3699	0.9642	0.1153	0.8231	0.4184
16.0000	0.7550	0.7276	0.0382	0.4488	0.7759	0.3400	1.6715	0.9782	0.3174	0.0399	1.5461	0.0643	0.0000	2.9836
28.0000	0.2316	0.9118	0.6827	0.8548	0.9364	0.8237	0.8425	0.3844	0.9637	0.1222	0.8044	0.4546	0.6548	0.7802
32.0000	0.2192	0.9174	0.7047	0.8669	0.9419	0.8349	0.6853	0.7471	0.8579	0.3536	0.9631	0.1167	0.8206	0.4285
29.0000	0.2282	0.9134	0.6941	0.8694	0.9369	0.8273	0.6761	0.7696	0.8560	0.3657	0.9622	0.1214	0.8069	0.4503
15.0000	0.7598	0.7274	0.0374	0.4489	0.7741	0.0524	0.0000	2.9900	0.3344	1.6989	0.9803	0.3173	0.0322	1.5576
17.0000	0.7600	0.7262	0.0334	0.4411	0.7689	0.0579	0.0000	2.9762	0.3219	1.7092	0.9802	0.3176	0.0336	1.5543
33.0000	0.2169	0.9186	0.7230	0.8632	0.9423	0.8347	0.7094	0.6778	0.8546	0.3668	0.9646	0.1154	0.8170	0.4290
29.0000	0.2247	0.9155	0.6961	0.8625	0.9400	0.8325	0.6793	0.7606	0.8551	0.3591	0.9640	0.1210	0.8134	0.4318
30.0000	0.2210	0.9165	0.7121	0.8608	0.9408	0.8333	0.7035	0.7072	0.8520	0.3701	0.9644	0.1163	0.8130	0.4400
17.0000	0.7531	0.7281	0.0241	0.4427	0.7895	0.0642	0.0000	2.9351	0.3339	1.6841	0.9794	0.3163	0.0391	1.5392
34.0000	0.2075	0.9200	0.7224	0.8610	0.9438	0.8446	0.7135	0.6698	0.8511	0.3523	0.9652	0.1110	0.8285	0.3980
18.0000	0.7592	0.7278	0.0342	0.4500	0.7762	0.0585	0.0000	2.9755	0.3347	1.6868	0.9802	0.3186	0.0356	1.5624
16.0000	0.7575	0.7278	0.0333	0.4447	0.7800	0.0594	0.0000	2.9815	0.3355	1.6862	0.9797	0.3181	0.0355	1.5539
30.0000	0.2234	0.9160	0.7073	0.8643	0.9382	0.8340	0.6870	0.7271	0.8499	0.3644	0.9641	0.1184	0.8131	0.4423
31.0000	0.2261	0.9156	0.6812	0.8601	0.9381	0.8494	0.3785	0.9640	0.1210	0.8139	0.4454	0.8339	0.6650	0.7417
35.0000	0.2036	0.9230	0.7333	0.8735	0.9426	0.8462	0.7210	0.6670	0.8638	0.3268	0.9659	0.1098	0.8335	0.3915
18.0000	0.7532	0.7284	0.0328	0.4477	0.7811	0.0710	0.0000	2.9748	0.3372	1.6657	0.9787	0.3160	0.0443	1.5510
19.0000	0.7583	0.7267	0.0365	0.4343	0.7753	0.0581	0.0006	2.9750	0.3255	1.6974	0.9794	0.3170	0.0356	1.5614
31.0000	0.2166	0.9183	0.6812	0.8662	0.9414	0.8544	0.3675	0.9651	0.1156	0.8197	0.4161	0.8377	0.6650	0.7405
32.0000	0.2178	0.9180	0.6911	0.8685	0.9392	0.8408	0.6653	0.7479	0.8641	0.3484	0.9644	0.1158	0.8233	0.4250
36.0000	0.1991	0.9244	0.7161	0.8717	0.9474	0.8507	0.7029	0.7005	0.8612	0.3333	0.9671	0.1077	0.8393	0.3769
17.0000	0.7570	0.7270	0.0344	0.4442	0.7787	0.0525	0.0000	2.9865	0.3397	1.6807	0.9802	0.3175	0.0305	1.5541
37.0000	0.2061	0.9223	0.7241	0.8764	0.9435	0.8452	0.7084	0.6856	0.8654	0.3440	0.9655	0.1119	0.8320	0.3876
32.0000	0.2151	0.9184	0.6955	0.8741	0.9420	0.8385	0.6754	0.7513	0.8639	0.3423	0.9652	0.1151	0.8187	0.4164
33.0000	0.2140	0.9188	0.6978	0.8707	0.9433	0.8382	0.6928	0.7385	0.8574	0.3451	0.9637	0.1162	0.8239	0.4146
19.0000	0.7516	0.7285	0.0347	0.4456	0.7802	0.0845	0.0000	2.9598	0.3335	1.6593	0.9780	0.3158	0.0521	1.5335
20.0000	0.7570	0.7272	0.0356	0.4531	0.7702	0.0621	0.0000	2.9752	0.3343	1.6784	0.9797	0.3176	0.0374	1.5504
38.0000	0.2046	0.9231	0.7329	0.8720	0.9451	0.8476	0.7103	0.6618	0.8643	0.3219	0.9673	0.1113	0.8321	0.3956
18.0000	0.7552	0.7292	0.0317	0.4556	0.7848	0.0643	0.0000	2.9711	0.3450	1.6751	0.9800	0.3168	0.0383	1.5569
33.0000	0.2103	0.9196	0.6936	0.8673	0.9419	0.8443	0.6751	0.7506	0.8589	0.3474	0.9663	0.1113	0.8225	0.4055
34.0000	0.2148	0.9209	0.7226	0.8698	0.9429	0.8440	0.8616	0.3432	0.9648	0.1135	0.8273	0.4290	0.7032	0.7439
20.0000	0.7508	0.7286	0.0299	0.4429	0.7912	0.0882	0.0000	2.9864	0.3415	1.6660	0.9767	0.3162	0.0545	1.5293
39.0000	0.1983	0.9247	0.7336	0.8758	0.9462	0.8503	0.8628	0.3295	0.9670	0.1066	0.8383	0.3766	0.7272	0.6621
21.0000	0.7561	0.7268	0.0294	0.4396	0.7858	0.0651	0.0000	2.9793	0.9786	0.3174	0.0386	1.5481	0.3312	1.6809
