current_epoch	train_loss	train_acc	train_f_score_hateful	train_f_score_abusive	train_f_score_normal	train_f_score_spam	train_acc_class_hateful	train_loss_class_hateful	train_acc_class_abusive	train_loss_class_abusive	train_acc_class_normal	train_loss_class_normal	train_acc_class_spam	train_loss_class_spam
31.0000	0.5413	0.7900	0.1634	0.7131	0.8256	0.3188	0.0883	2.2330	0.6437	0.8777	0.9790	0.2490	0.2169	1.1990
32.0000	0.5463	0.7889	0.1210	0.7141	0.8348	0.6474	0.8817	0.9792	0.2496	0.2128	1.2078	0.3123	0.0561	2.3454
37.0000	0.5391	0.7914	0.1574	0.7100	0.8357	0.6410	0.8924	0.9784	0.2491	0.2211	1.1948	0.3225	0.0891	2.2261
32.0000	0.5409	0.7902	0.1516	0.7011	0.8396	0.3192	0.0839	2.2248	0.6348	0.8922	0.9788	0.2493	0.2208	1.1940
33.0000	0.5452	0.7900	0.1171	0.7118	0.8311	0.3198	0.0492	2.3218	0.6419	0.8889	0.9788	0.2519	0.2199	1.1956
38.0000	0.5389	0.7909	0.1609	0.7159	0.8235	0.3228	0.0779	2.2470	0.6490	0.8775	0.9781	0.2492	0.2193	1.1936
33.0000	0.5405	0.7906	0.1649	0.7119	0.8238	0.3225	0.0899	2.2338	0.6391	0.8860	0.9784	0.2503	0.2186	1.1951
39.0000	0.5386	0.7919	0.1649	0.7195	0.8307	0.3313	0.0924	2.2083	0.6498	0.8778	0.9785	0.2491	0.2258	1.1897
34.0000	0.5445	0.7895	0.1287	0.7058	0.8337	0.3117	0.0607	2.3124	0.6414	0.8900	0.9793	0.2497	0.2129	1.2055
34.0000	0.5402	0.7903	0.1617	0.7129	0.8268	0.3216	0.0841	2.2489	0.6436	0.8778	0.9784	0.2494	0.2176	1.1979
40.0000	0.5383	0.7910	0.1507	0.7097	0.8433	0.3129	0.0887	2.2265	0.6432	0.8867	0.9785	0.2480	0.2157	1.1974
35.0000	0.5436	0.7903	0.1284	0.7140	0.8277	0.3262	0.0638	2.2994	0.6449	0.8851	0.9784	0.2511	0.2221	1.1926
35.0000	0.5397	0.7906	0.1541	0.7169	0.8315	0.6463	0.8813	0.9786	0.2485	0.2235	1.1942	0.3272	0.0842	2.2558
41.0000	0.5381	0.7923	0.1449	0.7189	0.8459	0.3281	0.0809	2.2494	0.6548	0.8634	0.9780	0.2504	0.2260	1.1855
36.0000	0.5431	0.7902	0.1301	0.7175	0.8319	0.3205	0.0608	2.2966	0.6493	0.8863	0.9784	0.2509	0.2210	1.1944
42.0000	0.5381	0.7910	0.1545	0.7120	0.8369	0.3238	0.0874	2.2252	0.6440	0.8844	0.9786	0.2473	0.2218	1.1914
36.0000	0.5394	0.7908	0.1580	0.7170	0.8323	0.3200	0.0828	2.2429	0.6461	0.8750	0.9780	0.2500	0.2209	1.1921
37.0000	0.5424	0.7901	0.1331	0.7173	0.8367	0.3148	0.0654	2.2854	0.6536	0.8741	0.9787	0.2495	0.2171	1.2022
43.0000	0.5378	0.7917	0.1519	0.7156	0.8383	0.3277	0.0873	2.2402	0.6468	0.8765	0.9789	0.2481	0.2250	1.1877
37.0000	0.5392	0.7911	0.1635	0.7201	0.8286	0.3200	0.0839	2.2562	0.6519	0.8664	0.9783	0.2495	0.2202	1.1962
38.0000	0.5421	0.7902	0.1406	0.7160	0.8267	0.3228	0.0646	2.2593	0.6451	0.8913	0.9787	0.2492	0.2212	1.1960
44.0000	0.5375	0.7919	0.1583	0.7205	0.8377	0.3250	0.0870	2.2300	0.6557	0.8668	0.9782	0.2498	0.2276	1.1828
38.0000	0.5389	0.7914	0.1635	0.7130	0.8270	0.3239	0.0798	2.2513	0.6435	0.8778	0.9782	0.2493	0.2239	1.1898
39.0000	0.5414	0.7908	0.1358	0.7201	0.8366	0.3224	0.0698	2.2771	0.6518	0.8753	0.9783	0.2501	0.2222	1.1953
45.0000	0.5374	0.7918	0.1705	0.7159	0.8335	0.3221	0.0947	2.2197	0.6484	0.8804	0.9786	0.2479	0.2190	1.1948
39.0000	0.5386	0.7909	0.1534	0.7147	0.8462	0.3198	0.0927	2.2200	0.6455	0.8764	0.9784	0.2481	0.2194	1.1965
40.0000	0.5410	0.7903	0.1233	0.7137	0.8460	0.3170	0.0703	2.2770	0.6502	0.8798	0.9789	0.2476	0.2177	1.2025
46.0000	0.5373	0.7919	0.1493	0.7134	0.8420	0.3234	0.0865	2.2313	0.6558	0.8642	0.9785	0.2479	0.2201	1.1919
40.0000	0.5385	0.7910	0.1570	0.7126	0.8357	0.3228	0.0891	2.2343	0.6458	0.8797	0.9783	0.2482	0.2214	1.1944
47.0000	0.5371	0.7916	0.1702	0.7137	0.8350	0.6495	0.8767	0.9787	0.2470	0.2224	1.1902	0.3202	0.0971	2.2176
41.0000	0.5406	0.7907	0.1422	0.7130	0.8379	0.3222	0.0757	2.2548	0.6535	0.8683	0.9784	0.2494	0.2225	1.1940
41.0000	0.5384	0.7911	0.1652	0.7211	0.8299	0.6497	0.8746	0.9787	0.2480	0.2199	1.1958	0.3210	0.0933	2.2007
48.0000	0.5369	0.7919	0.1630	0.7182	0.8348	0.3293	0.0963	2.2049	0.6512	0.8811	0.9780	0.2491	0.2251	1.1885
42.0000	0.5400	0.7912	0.1378	0.7157	0.8386	0.3247	0.0752	2.2616	0.6472	0.8791	0.9786	0.2493	0.2224	1.1945
49.0000	0.5369	0.7918	0.1672	0.7105	0.8275	0.3300	0.0909	2.2320	0.6421	0.8797	0.9783	0.2480	0.2247	1.1889
42.0000	0.5380	0.7919	0.1677	0.7145	0.8355	0.3250	0.0976	2.2221	0.6471	0.8816	0.9782	0.2487	0.2243	1.1911
43.0000	0.5398	0.7911	0.1505	0.7154	0.8388	0.6491	0.8812	0.9780	0.2493	0.2247	1.1913	0.3219	0.0808	2.2494
50.0000	0.5366	0.7918	0.1660	0.7182	0.8338	0.6496	0.8709	0.9783	0.2480	0.2242	1.1867	0.3222	0.0931	2.2361
43.0000	0.5378	0.7918	0.1569	0.7181	0.8394	0.3283	0.0930	2.2285	0.6489	0.8822	0.9782	0.2489	0.2267	1.1856
44.0000	0.5396	0.7913	0.1427	0.7134	0.8360	0.3230	0.0776	2.2359	0.6472	0.8795	0.9784	0.2492	0.2217	1.1926
